name,hostname,borough,neighbourhood,roomtype,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
Private Room in Riverdale NY,Yan,Bronx,Fieldston,Private room,75,5,35,1,300
Art Room + Backyard in Williamsburg,Glasshouse,Brooklyn,Williamsburg,Private room,99,3,22,2,11
Park slope 2BR duplex with garden,Birgitta,Brooklyn,Park Slope,Entire home/apt,300,2,85,2,268
Cozy Studio Close to Central Park,Gina,Manhattan,Harlem,Entire home/apt,175,2,142,2,339
Bright 1 bedroom near Columbia,Albane,Manhattan,Upper West Side,Entire home/apt,195,3,8,1,0
Bright & Sunny FULLY FURNISHED Room,Nathan,Queens,Forest Hills,Private room,50,7,2,1,140
Hell's Kitchen One Bedroom (near Times Square),Karlan,Manhattan,Hell's Kitchen,Entire home/apt,175,4,1,1,0
Brooklyn 3BR Near Subways,Thomas & Gaby,Brooklyn,Crown Heights,Entire home/apt,120,5,175,2,56
Sunlit Room near Prospect Park!,Anthony,Brooklyn,Flatbush,Private room,54,10,11,1,0
Cozy 5 Bdrm in Historic Harlem NY,Larry,Manhattan,Harlem,Entire home/apt,345,3,141,1,273
The Lincoln,Althea,Brooklyn,Crown Heights,Entire home/apt,225,3,76,3,275
Large  Sunny Open Brooklyn Apartment,Chris,Brooklyn,Boerum Hill,Entire home/apt,151,28,12,1,54
Improved Response Rate@ The Valley,Shae,Brooklyn,Bushwick,Entire home/apt,110,1,189,4,179
Luxury apartment in Manhattan.,Karima,Manhattan,Upper East Side,Entire home/apt,280,2,17,1,0
"Modern loft in Cobble Hill, BK",Lisa,Brooklyn,Boerum Hill,Private room,99,1,75,1,125
3BR Carroll Gardens townhouse loft,Jennifer,Brooklyn,Carroll Gardens,Entire home/apt,350,3,8,1,0
"W'burg Brooklyn, Sunny, Spacious, Private",Gautam,Brooklyn,Williamsburg,Private room,70,5,0,1,0
Cute UWS Studio Near Central Park Clean & Quiet,Michelle,Manhattan,Upper West Side,Entire home/apt,120,3,214,1,197
Chic Designer’s Room & 2 Beds in Manhattan LES,Jackie,Manhattan,Lower East Side,Private room,89,3,231,2,177
"Cozy 1br - Fort Greene, Brooklyn",Folake,Brooklyn,Fort Greene,Private room,120,3,1,1,365
Private room in 2B East Village!,Tal,Manhattan,East Village,Private room,85,5,142,1,80
BEAUTIFUL DESIGNER SOHO LOFT,Caroline,Manhattan,Little Italy,Entire home/apt,220,2,119,1,0
A single room  that converts  with bathroom,Anthony,Manhattan,Midtown,Private room,125,7,17,3,309
LUXURY 1 BR MIDTOWN w POOL & GYM,Petek,Manhattan,Murray Hill,Entire home/apt,189,1,3,1,0
Beautiful Room+Shared Living Room,Michael,Brooklyn,Crown Heights,Private room,100,7,0,1,0
Large sunny private room downtown,Ingrid,Manhattan,Lower East Side,Private room,81,3,9,1,0
Comfortable sofa bed in Manhattan,Heather,Manhattan,East Harlem,Shared room,45,2,136,1,15
Airy Duplex Room with Private Bath,Daniel,Brooklyn,Williamsburg,Private room,150,21,0,1,0
Tranquil Washington Heights Space ,Cheryl,Manhattan,Washington Heights,Private room,62,3,37,1,35
Quiet Park Slope Apartment - August  specials!,Julie,Brooklyn,Park Slope,Entire home/apt,330,2,122,2,351
1 BR minutes from Central Park!,Maria,Manhattan,Upper East Side,Private room,80,2,10,1,0
"Quiet, Full bed, Sleeps 1 or 2 ppl",Ford,Manhattan,Washington Heights,Shared room,65,2,9,1,0
SOHO Studio Best Location,Carl,Manhattan,Nolita,Private room,125,6,3,1,43
Sunny Suite in Historic Brooklyn,Samantha And Scott,Brooklyn,Flatbush,Entire home/apt,165,2,172,1,264
Lovely room in Greenwich Village,Pierre-Hubert,Manhattan,Greenwich Village,Private room,90,4,3,1,0
2 Bedroom Garden Apt. Park Slope,Laurie,Brooklyn,South Slope,Entire home/apt,120,3,8,1,9
Beautiful Row House Steps From Park,Betsy,Brooklyn,Windsor Terrace,Entire home/apt,250,1,0,2,0
Large 1-bedroom in Brooklyn,Melissa,Brooklyn,Clinton Hill,Entire home/apt,115,7,6,1,0
Artist's home near park and trains,Dov,Brooklyn,Prospect-Lefferts Gardens,Private room,55,1,47,1,249
Orchard St,Joe,Manhattan,Lower East Side,Entire home/apt,200,30,0,1,365
Modern Renovated Luxury 1BR - Soho,Tim,Manhattan,SoHo,Entire home/apt,149,1,0,1,0
Private Nook in Bushwick Improved Response Rate,Shae,Brooklyn,Bushwick,Entire home/apt,55,1,115,4,64
Spacious Townhouse Great for Families & Friends,Caroline,Brooklyn,Gowanus,Entire home/apt,400,6,34,1,1
Sunny 2 bedroom in Fort Greene,Claudia,Brooklyn,Clinton Hill,Entire home/apt,200,5,3,1,0
Modern 1BR apt in Greenpoint/Williamsburg Brooklyn,May,Brooklyn,Greenpoint,Entire home/apt,111,2,45,1,0
Bright & Spacious Fort Greene 1 Bed,Jonathan,Brooklyn,Fort Greene,Entire home/apt,175,3,12,1,0
"Peaceful, beautiful home away ",Norva,Manhattan,Harlem,Entire home/apt,150,2,31,1,0
Private room in Harlem,Lilia,Manhattan,Harlem,Private room,52,7,17,8,17
Cute and Cozy Two Bedroom in Sunset Park,Brooke,Brooklyn,Sunset Park,Entire home/apt,88,30,2,1,101
Private 3 Floor Whole Hse/Garden,Melissa,Brooklyn,Carroll Gardens,Entire home/apt,425,6,5,1,321
Spacious East Village Gem -Union Sq,Yuval,Manhattan,East Village,Entire home/apt,175,1,2,1,0
STUNNING WILLIAMSBURG HOME W/GARDEN,Elizabeth,Brooklyn,Williamsburg,Entire home/apt,270,14,0,1,0
Cozy 1 BR in a 4br/2ba apartment!!!,Yuma,Brooklyn,Flatbush,Private room,180,1,0,1,0
Amazing & Bright Loft-style Room,Aurelie,Brooklyn,Williamsburg,Private room,55,13,0,1,0
Brooklyn Cozy Garden Apt,Ava,Brooklyn,Bedford-Stuyvesant,Private room,105,14,26,1,285
Elegant 1876 Boerum Hill Brownstone,Patti,Brooklyn,Boerum Hill,Entire home/apt,265,2,10,1,0
Sunny and cozy room in Midtown,Andrea,Manhattan,Kips Bay,Private room,60,2,15,3,188
Small Cozy Private Room in NYC,Kristiana,Manhattan,Washington Heights,Private room,45,3,13,1,0
Modern Bedroom & Living Room Combination!,Malik,Manhattan,East Harlem,Private room,89,2,7,1,0
Right in the center of Manhattan,Chen,Manhattan,Upper East Side,Entire home/apt,200,4,102,1,6
Spacious prewar apartment in heart of Greenpoint,Katy,Brooklyn,Greenpoint,Entire home/apt,149,1,2,1,0
Comfort and Charm in Harlem Brownstone near Subway,Soon,Manhattan,Harlem,Private room,80,1,134,1,227
Chic Aptmnt close to Barclay Center,Rebekah,Brooklyn,Park Slope,Entire home/apt,125,1,154,2,122
Beautiful Comfortable Apt in North Manhattan,Aseel,Manhattan,Harlem,Entire home/apt,78,5,13,1,0
Private Room in Artist's Loft,Anna,Brooklyn,Williamsburg,Private room,65,2,152,2,80
"One stop from Manhattan, Fort Greene.",Laurence,Brooklyn,Fort Greene,Entire home/apt,350,7,5,1,0
Brooklyn Heights 1.5BR and Cat Sit,Ebonie,Brooklyn,Brooklyn Heights,Entire home/apt,115,5,0,1,0
Panoramic Penthouse - 30% OFF,Jon,Manhattan,Chelsea,Entire home/apt,289,2,1,1,0
"High Ceilings, Period Details",Benjamin,Brooklyn,Sunset Park,Entire home/apt,158,30,1,21,365
Great East Harlem spot for 1 or 2,Ali,Manhattan,East Harlem,Private room,50,2,6,1,0
Cozy but Cool:Huge 1bed in ❤️of NY,Lorna,Manhattan,Midtown,Entire home/apt,234,4,5,1,0
"Subletting in CrownHeights,Brooklyn",Sara,Brooklyn,Crown Heights,Private room,50,1,0,1,0
Huge Room in Manhattan's Upper West,Eve,Manhattan,Upper West Side,Private room,69,5,2,1,0
Beautiful LES Apartment,Tara,Manhattan,Chinatown,Entire home/apt,135,1,18,1,0
"Big sunny room, prime location!",Goran,Brooklyn,Williamsburg,Private room,89,3,73,1,359
Large 1br Duplex in Heart of Upper East Side,Jeff,Manhattan,Upper East Side,Entire home/apt,16,2,21,1,9
Big Private 4 bedrooms 1 bathroom Near Subway!,Dee,Brooklyn,Crown Heights,Entire home/apt,300,1,32,2,254
Murray Hill Modern,Ramon,Manhattan,Kips Bay,Entire home/apt,250,5,49,1,234
BEAUTIFUL ROOM NEAR PROSPECT PARK!!,John,Brooklyn,Flatbush,Entire home/apt,70,1,5,1,0
Cosy room with private bathroom-NYC,Irena,Manhattan,Upper East Side,Private room,140,3,118,1,316
Spacious Studio in Midtown,Kevin,Manhattan,Midtown,Entire home/apt,175,3,18,1,0
Carroll Gardens - Two Bedroom Apartment,Kevin,Brooklyn,Carroll Gardens,Entire home/apt,160,3,2,1,0
"2BR, UWS, Doorman, Balcony, CntrlPK",Jeremy,Manhattan,Upper West Side,Entire home/apt,200,1,0,1,0
Sunny Brooklyn room,Linnea,Brooklyn,Prospect Heights,Private room,57,7,11,1,0
Charming Chelsea bedroom,Rivani,Manhattan,Chelsea,Private room,90,3,2,1,53
Private Apartment 15 Minutes from the Big Apple,Karen,Queens,Elmhurst,Private room,89,2,40,5,1
"Clean design, One BD, Renovated!",Tania,Brooklyn,Park Slope,Entire home/apt,90,4,22,1,13
West Village designer studio,Matt,Manhattan,West Village,Entire home/apt,200,4,48,1,312
Stylish 2BR in heart of Park Slope,Jon,Brooklyn,Park Slope,Entire home/apt,100,2,52,2,30
Private oasis-charming gingerbread home!❤️❤️❤️❤️❤️,Suzy,Brooklyn,Bedford-Stuyvesant,Entire home/apt,68,30,14,5,334
Large East Village One Bedroom ,Daniel,Manhattan,East Village,Entire home/apt,170,4,14,1,0
Lovely room in big shared Brooklyn Brownstone,Sheki,Brooklyn,Crown Heights,Private room,40,28,13,3,318
Artist Loft in Lower East Side with Roof,Francesca,Manhattan,Chinatown,Entire home/apt,500,4,6,3,341
Gorgeous Apt 1 block from Subway,Cecile,Brooklyn,Cobble Hill,Entire home/apt,145,3,13,1,0
Park Slope Town House,Stefano,Brooklyn,Park Slope,Entire home/apt,250,3,16,2,6
Gorgeous Chic Apt on Prime West Village Street,Katie,Manhattan,West Village,Entire home/apt,288,7,14,1,222
"Tasteful, calm, central 2BR/2Baths",Roy,Brooklyn,Williamsburg,Entire home/apt,245,3,18,1,0
cozy harlem getaway,Laura,Manhattan,Harlem,Entire home/apt,80,3,12,1,0
Beautiful Penthouse Apt - Brooklyn,Arun,Brooklyn,Prospect Heights,Entire home/apt,125,5,5,1,0
"Huge, Perfect Location West Village",Celeste,Manhattan,West Village,Entire home/apt,166,14,18,1,48
UWS 2 BR 2 Ba. Gorgeous Apt!,Christine,Manhattan,Upper West Side,Entire home/apt,330,4,11,1,260
Private room in Williamsburg apt,Travis,Brooklyn,Williamsburg,Private room,60,5,6,2,0
Private Bedroom Available June 1,Hope,Manhattan,East Harlem,Private room,130,1,3,1,0
Sunny and Bright Room with a Terrace,Julie,Brooklyn,Gravesend,Private room,45,30,4,1,0
Quiet 1BR in Chelsea,Michelle,Manhattan,Chelsea,Entire home/apt,165,3,159,1,75
"great spacious 2BR duplex apt in S. Harlem, NYC",Taller,Manhattan,Harlem,Private room,155,2,14,1,172
Penthouse next to Central Park !,Andrey,Manhattan,Upper East Side,Entire home/apt,119,60,1,1,0
Quintessential Brooklyn...!!,Aaron,Brooklyn,Boerum Hill,Entire home/apt,158,3,12,1,0
"NICE Williamsburg Brooklyn, 2 Bedrooms off L train",Danny,Brooklyn,Williamsburg,Entire home/apt,169,5,51,1,91
Beautiful Brooklyn Brownstone,Mary & Josh,Brooklyn,Bedford-Stuyvesant,Entire home/apt,139,2,124,1,231
"Beautiful, Furnished Studio!",Gautam,Manhattan,Upper East Side,Entire home/apt,125,4,7,1,0
Spacious and Sunny 1BDR Astoria NYC,Michelle,Queens,Astoria,Private room,70,3,25,1,353
Close to JFK & LGA Feels like home,Smidty,Brooklyn,East New York,Private room,135,1,173,3,162
Entire Cozy One Bed #Manhattan #LES,Ofer,Manhattan,Lower East Side,Entire home/apt,99,30,8,8,170
Sunny and Spacious 1BR Loft in Williamsburg,Alexandra,Brooklyn,Williamsburg,Entire home/apt,175,10,0,1,0
Quiet Brooklyn Apartment ,Danielle,Brooklyn,Greenpoint,Entire home/apt,150,7,0,1,0
Oasis in the heart of New York,Amanda,Manhattan,Nolita,Entire home/apt,250,3,30,1,173
Private Room in great neighborhood,Rachel,Queens,Long Island City,Private room,100,1,0,1,0
Great Location,Heather,Brooklyn,Fort Greene,Private room,100,30,5,2,10
Brooklyn Garden Level  2bdrm Home,Faith,Brooklyn,Bedford-Stuyvesant,Entire home/apt,128,3,89,1,32
Brooklyn Living with Balcony!,Theresa,Brooklyn,Sunset Park,Entire home/apt,121,12,8,2,7
Super cute private room +amminities,Linda,Brooklyn,Crown Heights,Entire home/apt,160,30,36,2,228
"Great Apt,  Great Area",Linda,Manhattan,Upper West Side,Private room,135,2,0,2,352
Luxurious Brownstone Parlour,Robert,Manhattan,Gramercy,Entire home/apt,275,5,30,1,20
Great west village studio,Adam,Manhattan,West Village,Entire home/apt,180,3,3,1,0
Cozy quiet East Village room/en suite bathroom,Carrie,Manhattan,East Village,Entire home/apt,189,2,138,1,203
Whole beautiful house with Backyard,Rabah,Queens,Woodhaven,Entire home/apt,250,5,0,1,32
Ocean Hill Oasis,Louisa,Brooklyn,Cypress Hills,Entire home/apt,99,2,148,1,235
Superhost! Modern Private APT/15min Manhattan,Anne,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5,120,1,193
Hamilton Heights - Private Guest Suite,Delphine And Michael,Manhattan,Harlem,Entire home/apt,145,4,115,2,262
Lovely Shiny Private Room in NYC,Natasha,Manhattan,East Harlem,Private room,100,3,64,1,219
NYC Studio Loft in Meatpacking ,Tara,Manhattan,West Village,Entire home/apt,240,1,22,1,0
Private Room in Light-Filled Apt with Gym,Amber,Brooklyn,Bedford-Stuyvesant,Private room,90,3,52,1,0
3 Bedroom Brownstone in Historic Crown Heights.,Simone,Brooklyn,Crown Heights,Entire home/apt,220,2,55,1,306
Williamsburg COZY SUNNY next2train!,Pam,Brooklyn,Williamsburg,Private room,100,20,62,6,240
Beautiful Clean & Quiet Room! Rm#1,Christopher,Queens,Ridgewood,Private room,59,1,142,3,359
Apartment - private kitchen & bath,Lamee,Brooklyn,Bedford-Stuyvesant,Entire home/apt,78,30,81,3,188
"Cozy studio/kitchen, bathroom",Desmar,Bronx,Mott Haven,Entire home/apt,75,2,85,2,253
Cozy bedroom in Brooklyn!,Jessica,Brooklyn,Bedford-Stuyvesant,Private room,78,3,86,1,362
Upper East Side 2 Bedroom Apartment,Morgan,Manhattan,Upper East Side,Entire home/apt,250,1,4,1,0
Giant Private Townhouse w/ Garden,Mia,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,1,0,1,0
Spacious Queen Size Room,Asher,Manhattan,Upper West Side,Private room,44,1,2,1,0
Studio w/ Private Entry in Greenpoint Brooklyn,Aaron,Brooklyn,Greenpoint,Private room,69,2,25,2,125
Room w/ Private Bathroom,Yolanda,Brooklyn,Bushwick,Private room,65,1,0,1,5
Sunny airy beautiful Brooklyn 1B,Lihi,Brooklyn,Flatbush,Entire home/apt,90,7,4,1,0
Charming Colonial House in Brooklyn,Carolina,Brooklyn,East Flatbush,Entire home/apt,125,4,10,1,0
"Cozy, Clean, Quiet, ENTIRE APT!!",Kitt,Brooklyn,Flatbush,Entire home/apt,78,18,11,1,0
2000 sq ft Photographers loft,Dave,Manhattan,Chinatown,Entire home/apt,785,2,85,1,331
Spacious Studio in my new smart house,Dorina,Queens,Middle Village,Entire home/apt,99,3,160,4,299
Garden apt 15 mins from Manhattan,Cris,Queens,Sunnyside,Private room,74,30,9,1,76
Cozy UWS Apt Close to Central Park / Times Square,Fate,Manhattan,Upper West Side,Entire home/apt,130,4,2,1,0
LEGAL studio in Queens,Shawn & Christine,Queens,Woodside,Entire home/apt,105,2,216,1,70
Large 1 BDR Apt on the UWS,Natalie,Manhattan,Upper West Side,Entire home/apt,145,7,6,1,0
Central Park West. Queen Size Room,Fernando,Manhattan,Upper West Side,Private room,90,1,146,2,40
Spacious Brooklyn Townhouse,Alicia And Jamie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,215,4,14,1,0
Apartment near Upper East Side,Jeremy,Manhattan,East Harlem,Entire home/apt,100,3,1,1,0
Seven Days Sleep Near Prospect Park,Louis,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,92,5,192,2,281
Charming Quiet Apartment in NYC (安靜公寓),Mark,Manhattan,Kips Bay,Entire home/apt,185,29,5,1,2
Clean & Comfy Modern Townhouse,Alexis,Brooklyn,Boerum Hill,Entire home/apt,1000,4,0,1,0
Updated 1 bedroom heart of Chelsea,Whitney,Manhattan,Chelsea,Entire home/apt,160,4,11,1,1
Quiet & Close to All + Washer/Dryer in Chelsea,Michael,Manhattan,Chelsea,Entire home/apt,93,110,12,19,329
west village 1BR!best value!,Host,Manhattan,West Village,Entire home/apt,300,30,13,39,291
Prime Greenpoint/Williamsburg room,Nikki,Brooklyn,Greenpoint,Private room,75,1,3,3,0
Mellow One Bedroom in Chelsea ,Spencer,Manhattan,Chelsea,Entire home/apt,370,1,8,1,365
Gorgeous brownstone- NYC living! ,Nicole,Manhattan,Kips Bay,Entire home/apt,425,2,4,1,0
Park Slope Haven,Richard,Brooklyn,South Slope,Entire home/apt,200,30,4,11,282
Stay in the heart of the East side!,Alejandro,Manhattan,Midtown,Private room,125,2,55,1,348
Beautiful Chelsea Loft 700 Sq ft,Robert,Manhattan,Chelsea,Entire home/apt,179,10,1,1,0
Good Living in Brooklyn! Double Bed,Karen,Brooklyn,Bushwick,Private room,46,2,55,1,346
Spacious apartment with garden,Susanna,Brooklyn,Williamsburg,Entire home/apt,150,5,37,1,86
Affordable Room in Artsy Apartment,Rez,Brooklyn,Crown Heights,Private room,52,4,37,2,0
Amazing Oasis in NYC!,Lauren,Manhattan,Washington Heights,Private room,80,1,1,1,351
Delightful & Modern 1 Bedroom,Tara,Brooklyn,Boerum Hill,Entire home/apt,120,2,4,1,0
A Dream! Luxury 3 Bedroom Apt+Pking,Olga,Brooklyn,Sheepshead Bay,Entire home/apt,300,5,8,2,363
Beautiful Brooklyn Heights Share,Katherine,Brooklyn,Brooklyn Heights,Private room,110,2,1,1,189
Family home near Prospect Park,Johanna,Brooklyn,South Slope,Entire home/apt,200,1,4,1,0
Sunny 1 bed home close to Manhattan,Maria,Brooklyn,Windsor Terrace,Entire home/apt,75,5,9,1,0
Spacious and unique 1 bdrm / 2 bath,Caleb,Manhattan,Upper East Side,Entire home/apt,200,5,49,1,25
ADORABLE 2BR in Chelsea!!,Cayla,Manhattan,Chelsea,Entire home/apt,300,3,11,1,0
Sublet near Columbia University,Berhani,Manhattan,Harlem,Private room,22,10,3,1,0
Gorgeous Loft w/ 2 queen beds & full kitchen!,Vida,Brooklyn,Greenpoint,Entire home/apt,129,30,15,52,157
TRENDY LOWER EAST SIDE STUDIO,Debris,Manhattan,Lower East Side,Entire home/apt,125,7,4,1,0
Cozy 1 bedroom in charming home.,Sandra,Brooklyn,East Flatbush,Private room,150,1,0,1,299
Gorgeous Studio Apt Upper East Side,Tanya,Manhattan,Upper East Side,Entire home/apt,185,5,18,1,31
"Sunny, spacious, 1BR in Willamsburg",Aleksandra,Brooklyn,Williamsburg,Entire home/apt,158,4,17,1,0
Happy big family,Alexander,Brooklyn,Flatbush,Private room,30,1,0,1,0
Modern rowhouse in prime Ft Greene,Kathrine,Brooklyn,Fort Greene,Entire home/apt,316,3,29,1,6
Park Slope Studio Apartment,Michael,Brooklyn,Park Slope,Entire home/apt,175,3,176,1,0
Astoria: full apartment,Michael,Queens,Astoria,Entire home/apt,97,3,33,1,0
Quant 1bdrm in midtown west,Paul,Manhattan,Hell's Kitchen,Entire home/apt,175,1,1,1,347
Couch in E. Williamsburg Luxury Apt,Thuy,Brooklyn,Williamsburg,Shared room,60,1,0,2,0
Private Charming Spacious Bedroom,Catherine,Brooklyn,Crown Heights,Private room,72,3,6,1,83
Lisa's Townhouse - Luxury & Style,Peter,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,5,82,1,0
"Upper West Side Apt, One Block to Central Park",Loubna,Manhattan,Upper West Side,Entire home/apt,225,3,0,1,0
Beautiful Summer Sublet in Ditmas Park Brooklyn,Paul,Brooklyn,Flatbush,Entire home/apt,85,5,1,1,0
"Cute,Cozy Lower East Side 1bdrm",Ben,Manhattan,Lower East Side,Entire home/apt,150,1,60,4,188
Williamsburg Garden Apartment,Hannah,Brooklyn,Williamsburg,Entire home/apt,225,2,257,2,179
"Manhattan Club Dec. 23-30, 2017",Julia,Manhattan,Midtown,Private room,400,7,5,1,0
Luxury Duplex in Williamsburg with private bath,Anna,Brooklyn,Williamsburg,Private room,125,4,14,1,0
Fabulous Family Getaway,Julia,Brooklyn,Crown Heights,Entire home/apt,200,3,153,1,260
WHOLE LARGE 1-BEDROOM APARTMENT,David,Manhattan,Washington Heights,Entire home/apt,88,2,0,1,0
Private room in Williamsburg Apt,Jon,Brooklyn,Williamsburg,Private room,250,1,0,1,0
Beautiful Studio Near Times Square ,Nastassia,Manhattan,Hell's Kitchen,Entire home/apt,300,1,0,1,0
Spacious & Cozy NYC Apartment in Brooklyn/Queens,Suzy,Queens,Ridgewood,Entire home/apt,89,10,10,1,222
Modern 1 BR + terrace in Gramercy,David,Manhattan,Kips Bay,Entire home/apt,165,2,25,1,0
Affordable Room in Beautiful Apt !,Victoria,Manhattan,Financial District,Private room,84,15,0,2,0
"Lovely 2 Floor Home, Gem in Heart of Williamsburg!",Paulina,Brooklyn,Williamsburg,Entire home/apt,285,1,89,2,110
Extra Large 1BR,Hannah,Brooklyn,Windsor Terrace,Entire home/apt,150,4,26,1,0
"cozy room, close to trains, explore brooklyn!",Arika,Brooklyn,Crown Heights,Private room,70,2,10,2,68
Superior Two BR - UES (30 Days MIN),Mor,Manhattan,Upper East Side,Entire home/apt,300,30,3,9,365
Beautiful 2BD in Brooklyn Heights,Reno,Brooklyn,Brooklyn Heights,Entire home/apt,220,5,3,1,186
"City retrieve -confort,quite,light",Jana,Manhattan,Harlem,Entire home/apt,149,31,0,4,77
Greenwich Village cozy 1-2BD with outdoor space,Nadine,Manhattan,West Village,Entire home/apt,249,3,6,1,0
Spacious 1 bd in Crown Heights,Avraham,Brooklyn,Crown Heights,Entire home/apt,90,7,0,1,0
Panoramic view of Upper Manhattan!,Ivan,Manhattan,Washington Heights,Private room,69,3,18,4,270
Entire lux apt in Williamsburg - 30 days or more,Nicky,Brooklyn,Greenpoint,Entire home/apt,120,30,77,1,3
A cozy room in a 3 bedroom apt,Mario,Manhattan,East Harlem,Private room,69,2,60,2,271
Your NYC haven at Upper Manhattan!,Ivan,Manhattan,Harlem,Private room,54,5,21,4,187
Your Manhattan haven: dressed in red,Ivan,Manhattan,Washington Heights,Private room,50,5,24,4,177
An Upper-Manhattan room of your own!,Ivan,Manhattan,Washington Heights,Private room,51,6,20,4,258
Cozy BR in heart of Manhattan (Hell's Kitchen),Thomas,Manhattan,Hell's Kitchen,Private room,99,3,10,1,0
Two-Floor Apartment on Upper West,Nick,Manhattan,Upper West Side,Entire home/apt,290,7,1,1,0
Super cute and sunny 2 bedroom,Andrea,Brooklyn,Williamsburg,Entire home/apt,240,365,0,1,363
Awesome Deal NYC,Pat,Bronx,Allerton,Private room,49,2,114,4,240
Charming 1BR Private GARDEN Apt!,Michael,Brooklyn,Boerum Hill,Entire home/apt,115,3,6,1,0
Brooklyn Cozy and Convenient,Ayodele,Brooklyn,Crown Heights,Private room,78,21,60,1,0
Sunny Bushwick Brownstone,Janice,Brooklyn,Bushwick,Entire home/apt,125,7,25,1,270
Suite Lounge,Amy,Manhattan,East Harlem,Entire home/apt,135,3,225,2,13
Battery Park City Sunny Bedroom ,Lily,Manhattan,Battery Park City,Private room,110,1,0,1,0
"Modern 1 Bedroom with Large Windows, Lots of Light",Brendon,Manhattan,Financial District,Entire home/apt,205,2,8,1,0
Modern Manhattan Living Suite 2A,Judette,Manhattan,Harlem,Entire home/apt,95,30,36,1,245
Charming Boutique Room in Bushwick,Kip,Brooklyn,Bushwick,Private room,55,3,225,1,15
"Comfy room, minutes from metro for up to 3 people!",Carl,Brooklyn,Brownsville,Private room,47,2,118,1,310
Spot in the Heights!,Mordechai,Manhattan,Washington Heights,Private room,39,4,48,2,12
Gorgeous 2 Bedroom Loft in the Heart of Chelsea,Craig,Manhattan,Chelsea,Entire home/apt,349,5,19,1,358
Luxurious Living in Williamsburg/Brooklyn,Sabine,Brooklyn,Williamsburg,Entire home/apt,250,1,7,1,170
"COOL, ARTSY & CENTRAL APARTMENT",Dee,Manhattan,East Village,Entire home/apt,290,7,90,1,41
"Lovely, Sunny Bedroom in Huge DUMBO Apartment",Allie,Brooklyn,Vinegar Hill,Private room,85,1,83,3,21
"Charming Apt, Perfect for Couples!",Liz,Brooklyn,Bushwick,Entire home/apt,170,2,1,1,0
Sunny top floor loft with skylight in downtown NY,Stina,Manhattan,Lower East Side,Entire home/apt,146,11,50,1,0
Studio Apt. 15 min from Manhattan,Griffin,Queens,Astoria,Entire home/apt,99,2,7,1,0
Sweet 2 bed in Elevator Building,Marta,Brooklyn,Prospect Heights,Entire home/apt,150,3,25,1,18
Artsy Modern Hideout | Two bedrooms with backyard!,Blake,Brooklyn,Williamsburg,Entire home/apt,240,2,87,1,77
 3 bedroom loft in Williamsburg,Randall,Brooklyn,Williamsburg,Entire home/apt,500,2,48,1,365
Bright & Spacious 15 mins to Midtown Manhattan,Steve,Queens,Sunnyside,Private room,48,2,33,1,113
Sunny Bushwick Apartment / Morgan L,Abigail,Brooklyn,Williamsburg,Entire home/apt,129,1,21,1,0
Lovely Near Time square in 1bedroom,Han,Manhattan,Hell's Kitchen,Entire home/apt,750,3,16,1,365
Adorable Soho Apartment,Lana,Manhattan,SoHo,Entire home/apt,180,5,9,1,87
"Cozy 1 BD in Astoria, City Bike & NYFerry nearby",FLora,Queens,Long Island City,Private room,70,3,1,1,342
Independence in NYC,Timothy,Manhattan,Upper East Side,Entire home/apt,150,2,0,1,0
Sun-soaked 1BR in Park Slope with amazing NYC view,Laura,Brooklyn,Park Slope,Entire home/apt,240,1,1,1,0
Gorgeous 1BR Park Slope Apt/Garden,Laura,Brooklyn,Park Slope,Entire home/apt,100,5,10,1,0
East Village Apt at Great Location ,Gabi,Manhattan,East Village,Entire home/apt,122,30,7,1,339
2 Bd/1 Bath Apartment Upper East Side NYC,Geoffrey,Manhattan,Upper East Side,Entire home/apt,400,3,9,2,0
Sunny Private Room,Pat,Bronx,Allerton,Private room,47,2,75,4,172
Beautiful Brooklyn 3 bdrm in Prospect Heights,Laura,Brooklyn,Prospect Heights,Entire home/apt,140,3,12,1,4
Luxe Tuscan Suite Private Room,Anne,Bronx,Mott Haven,Private room,55,1,231,2,16
APT IN PROSPECT/CROWN HEIGHTS ,Konstantino,Brooklyn,Crown Heights,Entire home/apt,110,4,3,1,0
"Neat, Classy, and Simple.",Lionel,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,3,1,2,365
Luxury Furnished Apt @TriBeCa/Soho,Arjun,Manhattan,Civic Center,Entire home/apt,80,7,6,1,0
Cute Studio in Midtown East/UES!,Sharon,Manhattan,Midtown,Entire home/apt,150,2,4,1,0
Spacious 2 BDR Apt. Upper West Side,Kira,Manhattan,Upper West Side,Entire home/apt,200,4,4,1,0
Private Sunny Room in Park Slope,Ana,Brooklyn,Sunset Park,Private room,50,10,1,2,0
Sparkling Brick APT Heart UES +Yoga,Jay,Manhattan,Upper East Side,Private room,99,1,21,2,82
Comfortable and Convenient,Sarah,Manhattan,Harlem,Private room,60,7,11,2,0
